classification,x1,x2,x3
1,71.21,-94.79,30.97
-1,-12.92,59.82,-43.14
1,41.08,-58.1,-18.08
-1,-9.5,89.4,-69.94
1,-36.95,-92.31,23.62
1,-70.1,-26.21,61.08
1,14.35,-18.05,0.97
-1,-54.36,-13.16,-55.38
-1,-94.68,33.12,-57.73
-1,-85.03,-25.36,-90.29
-1,-85.01,-58.26,-72.26
-1,-36.75,40.92,-76.98
1,9.82,-67.93,-34.38
-1,-98.29,-46.58,29.91
-1,-94.79,-17.72,53.65
1,-2.0,14.95,32.0
1,72.05,36.67,5.37
-1,-82.48,97.45,-76.49
-1,55.93,33.66,-90.35
-1,-30.87,25.72,46.0
-1,-37.24,59.76,13.8
-1,-91.3,-38.91,1.75
-1,42.59,58.37,-46.31
1,24.01,-98.96,-60.71
1,-49.29,-21.93,66.46
-1,36.3,-20.42,-74.33
1,70.94,-71.96,-69.86
-1,-16.37,9.15,-92.76
-1,91.21,48.86,-92.21
1,50.44,40.96,4.62
1,71.38,-48.28,-90.85
1,91.39,-3.77,30.39
1,50.58,23.43,-28.82
-1,-50.98,54.34,-82.81
1,45.43,-53.21,50.38
1,37.48,8.16,44.15
-1,-52.37,61.9,-69.86
1,74.12,8.73,1.8
-1,-67.21,-49.03,-30.98
-1,10.61,-24.11,-76.1
-1,-76.95,-52.66,-49.69
1,63.22,4.01,-29.52
-1,-5.7,90.62,20.58
-1,-87.05,86.64,-56.17
-1,-95.14,-57.14,37.12
-1,38.83,67.67,-51.04
-1,-2.63,60.18,-51.04
1,18.57,-14.04,23.95
1,94.22,66.59,17.26
1,96.1,-25.18,-10.38
1,-77.46,-93.01,24.28
-1,-17.11,69.89,-99.61
-1,-61.79,70.24,7.49
1,51.16,-77.12,38.75
1,-50.87,-34.42,68.43
-1,-22.16,66.82,31.71
-1,-98.56,12.91,16.11
1,88.02,-53.14,96.09
1,53.21,-76.64,-37.66
1,87.92,34.95,13.25
-1,54.6,61.93,-47.94
-1,7.84,95.46,-73.82
-1,-69.85,-0.96,2.2
-1,-89.32,-89.4,-87.63
-1,-94.06,20.48,-29.32
1,81.04,-1.29,10.02
1,-73.62,-94.23,18.23
1,30.17,-10.47,15.84
1,24.64,-42.76,48.93
1,56.4,59.46,27.68
1,-35.34,-99.52,32.74
-1,-75.9,28.12,-27.44
-1,-40.88,68.01,-21.93
1,87.61,65.05,56.9
-1,-12.67,16.27,0.91
1,-24.8,-68.46,-3.68
-1,21.68,-84.65,-98.46
-1,-96.07,-78.55,-93.8
1,47.23,-71.85,-11.39
-1,53.08,41.29,-95.69
1,71.27,67.86,97.2
-1,21.27,63.62,-8.6
-1,-52.22,-45.09,20.74
-1,0.57,44.82,-97.77
-1,-52.43,19.84,31.1
-1,-46.56,56.79,-5.81
-1,-92.95,39.01,86.23
-1,-99.96,46.04,-43.49
1,50.3,49.57,8.65
1,66.99,97.63,-5.55
-1,-68.7,42.94,12.29
-1,-52.46,18.47,-78.28
-1,-91.78,-3.68,-91.1
-1,-96.38,-14.56,90.18
-1,80.86,63.83,-91.29
1,80.1,-61.59,-5.8
1,40.2,-12.78,-54.12
-1,15.19,-84.18,-95.09
-1,-85.79,41.38,18.73
1,36.1,15.96,24.16
-1,-97.45,0.38,-70.26
-1,-55.64,-92.24,-78.69
1,48.41,-39.78,56.96
1,38.66,-87.3,-98.53
1,83.84,89.6,0.83
1,-31.4,-72.1,91.49
-1,-50.13,-31.99,-25.27
1,-53.25,-98.47,39.17
1,73.2,15.18,40.51
1,19.84,-64.32,81.65
-1,-38.9,52.92,66.94
1,-55.59,-77.75,60.84
-1,-65.7,68.25,54.37
-1,39.74,-52.33,-93.73
-1,-70.52,41.23,14.68
-1,-57.45,85.0,-15.26
1,73.36,38.98,58.59
-1,18.99,85.5,9.47
1,27.69,-91.32,-39.9
1,71.88,21.34,80.39
1,70.16,53.25,65.85
1,63.98,-59.95,39.88
1,-20.69,-63.2,50.44
1,70.05,41.74,9.71
-1,-55.6,0.22,6.08
-1,-87.57,83.36,-55.91
1,-7.89,-64.28,19.18
-1,-42.69,-32.41,-11.39
1,45.53,-11.63,55.61
1,57.87,5.61,50.81
-1,-41.82,-34.79,-98.72
1,21.32,17.24,17.95
-1,5.12,73.08,-67.58
1,53.01,77.78,45.63
-1,28.98,-71.21,-88.42
-1,-12.16,4.41,-6.24
1,32.02,86.43,32.03
1,83.68,64.79,94.76
1,26.77,77.01,43.5
-1,-69.37,-14.69,54.23
-1,7.16,62.52,-57.18
-1,-97.43,-80.85,20.72
1,-18.44,-82.65,-11.13
1,75.69,-54.05,-12.05
1,96.74,-12.04,-73.31
1,54.77,-74.37,-55.01
-1,-96.67,80.63,-95.5
-1,-47.27,34.36,-0.43
1,47.4,-27.76,96.93
-1,28.56,19.21,-70.97
-1,-81.44,67.48,-33.31
1,66.12,35.82,-11.75
1,57.18,60.76,45.69
1,71.16,94.3,-8.84
1,65.46,25.14,-20.49
-1,-75.21,67.51,-95.09
-1,97.52,65.12,-91.51
-1,-11.97,29.62,-17.46
1,61.54,40.59,12.26
1,-71.34,-15.45,67.51
-1,-97.88,69.72,28.33
