classification,x1,x2
1,38.57,80.68
-1,-14.86,-37.06
-1,-41.87,53.17
1,95.26,52.6
-1,-49.56,15.16
1,47.12,20.96
1,57.19,-53.77
-1,-1.01,-65.57
-1,-22.76,80.66
1,99.54,35.38
1,28.02,-5.06
1,33.69,24.17
-1,-65.86,-66.08
-1,-15.35,-61.63
1,39.67,-80.17
-1,-61.76,-84.42
1,11.15,-79.99
-1,-28.79,87.45
1,85.73,66.92
1,62.19,-32.79
1,45.96,25.18
1,0.67,64.89
-1,-48.19,93.35
-1,-20.38,80.93
1,12.57,-35.0
-1,-72.8,10.68
-1,-95.91,11.94
-1,-62.49,-42.76
-1,-54.12,1.97
-1,-77.45,-60.66
-1,-7.84,24.35
-1,-64.29,-25.98
-1,-44.93,-17.44
1,32.43,-78.04
1,67.91,-57.56
-1,-44.11,51.72
-1,-75.02,-57.3
1,-0.23,12.96
1,43.95,-63.69
1,45.72,-8.81
-1,-76.06,-27.75
1,91.36,10.04
-1,-57.86,43.74
-1,-98.85,-40.52
1,44.0,22.74
-1,-62.2,-31.84
-1,-88.39,-98.83
1,35.64,-76.51
1,49.42,14.29
-1,-23.87,15.55
1,54.07,62.8
-1,-84.09,-17.2
1,36.83,-28.42
-1,-19.26,29.96
-1,-62.69,92.04
-1,-26.74,69.35
-1,-92.1,33.35
1,5.01,-10.48
-1,-75.81,-22.86
1,60.04,26.41
1,45.77,37.22
-1,-19.05,-35.8
1,93.81,32.76
1,59.05,55.53
1,91.85,-84.73
-1,-96.93,-61.41
1,72.69,-84.92
-1,-82.73,-20.4
-1,-23.29,88.58
-1,-36.53,-72.87
1,91.76,96.8
1,2.81,-20.3
1,2.26,20.81
1,-2.39,76.27
-1,-89.62,36.08
1,64.52,-21.72
-1,-29.74,-87.15
1,39.57,39.9
1,31.84,-27.31
-1,-80.29,-53.25
1,17.19,-63.15
1,16.13,37.88
-1,-53.87,-10.91
-1,-7.92,-61.1
-1,-49.18,95.02
-1,-88.6,-46.6
1,67.84,19.5
1,62.5,-9.95
-1,-6.26,-80.82
1,11.03,80.59
1,46.9,-41.55
-1,-5.04,-78.33
-1,-97.72,-43.92
-1,-17.37,-35.5
-1,-65.15,39.53
1,15.92,54.13
-1,-88.71,95.72
1,86.77,-57.3
1,68.75,44.42
1,20.26,85.68
-1,-93.09,-1.07
1,-0.38,98.24
1,49.12,-50.4
-1,-28.66,-99.71
1,30.3,76.34
-1,-2.7,-38.9
-1,-90.83,50.57
1,99.89,54.37
-1,-11.64,94.45
1,40.72,-30.32
-1,-88.03,-16.03
1,10.9,-34.37
-1,-94.92,63.48
-1,-38.69,-63.79
1,54.26,54.68
-1,-58.94,84.75
-1,-49.76,88.4
-1,-72.65,5.17
1,86.8,27.04
1,20.19,84.48
1,19.59,-84.94
-1,-16.58,-1.3
1,90.89,-33.46
-1,-97.64,97.76
1,93.25,-74.85
1,59.61,45.19
-1,-97.74,41.83
-1,-73.0,-32.77
-1,-31.69,-59.04
-1,-41.19,-63.76
1,83.13,-31.69
1,51.46,28.13
1,17.67,99.28
-1,-86.06,63.27
-1,-44.98,-6.73
-1,-56.59,-36.49
-1,-90.48,96.69
1,67.11,82.96
1,41.11,47.35
-1,-96.99,40.44
1,57.18,-29.67
1,19.45,-1.18
-1,-22.84,-2.73
1,28.72,-4.9
-1,-31.51,66.58
1,72.4,59.54
1,84.74,62.22
-1,-34.91,-40.34
1,9.33,50.18
1,38.38,-79.44
1,43.04,-26.21
-1,-37.99,82.37
1,48.56,4.65
1,90.88,93.21
1,90.26,48.19
-1,-93.93,72.17
-1,0.2,-14.76
1,58.34,-32.67
-1,-90.3,85.56
